id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
30998,EIMG,closed,Moneygall Aerodrome,52.849998,-7.983,450,EU,Ireland,IE,County Offaly,IE-OY,OY,Moneygall,0,EIMG,,,,,Muine Gall,50,2016-12-23T05:01:09+00:00
321226,IE-0022,small_airport,Morriscastle Airstrip,52.516621,-6.26371,,EU,Ireland,IE,County Westmeath,IE-WH,WH,Morriscastle,0,,,,,,,50,2021-04-27T17:41:14+00:00
333221,IE-0061,small_airport,Moyglare Airfield,53.4044,-6.6362,,EU,Ireland,IE,County Meath,IE-MH,MH,Moyglare,0,,,,,,Newtownmoyaghy UL,50,2021-04-27T17:22:15+00:00
315675,EIHH,small_airport,Navan Airfield,53.695489,-6.654094,250,EU,Ireland,IE,County Meath,IE-MH,MH,Navan,0,EIHH,,,http://www.navanairfield.com/,,,50,2016-12-26T18:24:09+00:00
43999,EIER,small_airport,Erinagh Airfield,52.8125,-8.282222,155,EU,Ireland,IE,County Tipperary,IE-TA,TA,Nenagh,0,EIER,,,,,,50,2021-01-11T05:32:05+00:00
29228,EINC,small_airport,Newcastle Aerodrome,53.07109832763670,-6.0452799797058100,1,EU,Ireland,IE,County Wicklow,IE-WW,WW,Newcastle,0,EINC,,,,,,50,2009-02-15T22:14:26+00:00
30999,EIPT,closed,Powerscourt Airfield,53.178301,-6.196495,470,EU,Ireland,IE,County Wicklow,IE-WW,WW,Powerscourt,0,EIPT,,,,,,50,2019-09-11T11:14:13+00:00
29229,EIRT,small_airport,Rathcoole Aerodrome,52.10559844970700,-8.983329772949220,281,EU,Ireland,IE,County Cork,IE-C,C,Rathcoole,0,EIRT,,,,,,50,2009-02-15T11:07:39+00:00
29230,EISP,small_airport,Spanish Point Airfield,52.845839,-9.414876,75,EU,Ireland,IE,County Clare,IE-CE,CE,Spanish Point,0,EISP,,,,,,50,2021-10-29T10:47:27+00:00
321482,IE-0033,small_airport,Stradbally Airstrip,53.04556,-7.163937,,EU,Ireland,IE,County Laois,IE-LS,LS,Stradbally,0,,,,,,,50,2021-04-27T17:35:52+00:00
29906,EIGN,small_airport,Gowran Grange Aerodrome,53.1786003112793,-6.635280132293700,489,EU,Ireland,IE,County Kildare,IE-KE,KE,Swordlestown,0,EIGN,,,,,,50,2009-02-15T21:52:38+00:00
320368,IE-0010,small_airport,ILAS Wexford Airfield,52.2981,-6.68194,125,EU,Ireland,IE,County Wexford,IE-WX,WX,Taghmon,0,,,,,,"Irish Light Aviation Society, Taghmon",50,2021-04-27T17:44:29+00:00
29227,EIMY,closed,Moyne Aerodrome,52.703098,-7.70528,400,EU,Ireland,IE,County Tipperary,IE-TA,TA,Thurles,0,EIMY,,,,https://en.wikipedia.org/wiki/Moyne_Aerodrome,Áth na nUrlainn,50,2019-09-11T11:07:00+00:00
321181,IE-0020,small_airport,Tibohine Airfield,53.884757,-8.488176,,EU,Ireland,IE,County Roscommon,IE-RN,RN,Tibohine,0,,,,,,,50,2021-04-27T17:05:50+00:00
29231,EITM,small_airport,Trim Aerodrome,53.5746994019,-6.7386097908,200,EU,Ireland,IE,County Meath,IE-MH,MH,Trim,0,EITM,,,,https://en.wikipedia.org/wiki/Trim_Aerodrome,,50,2012-11-18T04:34:45+00:00
321541,IE-0036,small_airport,Spollens Airstrip,53.29345,-7.53085,,EU,Ireland,IE,County Offaly,IE-OY,OY,Tullamore,0,,,,,,Silverbrook Airfield,50,2021-04-27T17:49:53+00:00
341233,IE-0064,heliport,Tory Island Helistrip,55.26521,-8.23405,,EU,Ireland,IE,County Donegal,IE-DL,DL,,0,,,,,,,0,2021-02-20T04:47:18+00:00
312096,EIFR,heliport,Finner Camp Heliport,54.49273,-8.24091,107,EU,Ireland,IE,County Donegal,IE-DL,DL,Ballyshannon,0,EIFR,,,,,,0,2014-06-03T03:46:19+00:00
43995,IE-0002,closed,Reeroe Airport,51.933334,-10.233333,314,EU,Ireland,IE,County Kerry,IE-KY,KY,Caherciveen,0,,,,,,,0,2019-01-07T06:13:56+00:00
333217,IE-0058,heliport,Citywest Heliport,53.2856,-6.4456,,EU,Ireland,IE,County Dublin,IE-D,D,Dublin,0,,,,,,,0,2021-04-27T17:24:54+00:00
43998,EITT,closed,Trevet Airfield,53.543611,-6.531944,385,EU,Ireland,IE,County Meath,IE-MH,MH,Dunshaughlin,0,EITT,,,http://www.trevetairfield.com/,,,0,2017-03-28T13:34:14+00:00
333197,IE-0055,heliport,Knocksedan Heliport,53.4543,-6.2656,,EU,Ireland,IE,County Dublin,IE-D,D,"Knocksedan, Dublin",0,,,,https://irishhelicopters.com,,,0,2020-02-08T02:32:10+00:00
317525,IE-0006,closed,Clifden Alcock & Brown Airport,53.54106,-10.08394,,EU,Ireland,IE,County Galway,IE-G,G,Laghtanabba,0,EICD,,,,https://en.wikipedia.org/wiki/Clifden#Airport,,0,2021-04-27T17:09:11+00:00
308317,IE-0003,closed,Mallow International Airport,52.131802,-8.68804,,EU,Ireland,IE,County Cork,IE-C,C,Mallow,0,,,,,,,0,2016-02-06T15:58:57+00:00
317526,IE-0007,closed,Inishbofin Airfield,53.6196,-10.21085,,EU,Ireland,IE,County Galway,IE-G,G,Middlequarter,0,,,,,,,0,2021-04-27T17:08:40+00:00
321626,EIMS,seaplane_base,Mountshannon Seaplane Base,52.9305,-8.4245,103,EU,Ireland,IE,County Clare,IE-CE,CE,Mountshannon,0,EIMS,,,http://www.harbourflights.com,,,0,2016-12-28T08:37:26+00:00
343905,IE-0066,heliport,Skellig Michael Heliport,51.77029,-10.53799,,EU,Ireland,IE,County Kerry,IE-KY,KY,Portmagee,0,,,,,,,0,2021-10-29T10:41:17+00:00
44000,EICD,closed,Castlebridge Airport,52.369131,-6.451021,79,EU,Ireland,IE,County Wexford,IE-WX,WX,Wexford,0,,,,,,"WEX, EICD",0,2018-09-13T03:08:42+00:00
